NodeType,SymptomDescription,SymptomID
[Symptom],Unsafe default configurations for LDAP channel binding and LDAP signing exist on Active Directory domain controllers that let LDAP clients communicate with them without enforcing LDAP channel binding and LDAP signing.,UnsafeDefaultConfigurations
[Symptom],A vulnerability in Adobe software used by Microsoft Edge allows for remote code execution.,RemoteCodeExecutionInAdobePDF
[Symptom],The vulnerability allows an attacker to cause a Denial of Service (DoS) condition in Microsoft QUIC. This results in the attacker being able to fully deny access to resources in the impacted component.,DenialOfServiceInMicrosoftQUIC
[Symptom],The weather is no longer displayed on the Calendar in Outlook.,WeatherNotDisplayedOnCalendar
[Symptom],Images are blocked and meeting body is read only in Outlook Desktop if calendar items are from other senders.,ImagesBlockedAndMeetingBodyReadOnly
[Symptom],Outlook blocks opening FQDN and IP address hyperlinks.,OutlookBlocksOpeningHyperlinks
[Symptom],"After installing the October MS updates, the default Chrome profile is missing, including recent history and bookmarks.",MissingChromeProfileAfterUpdate
[Symptom],Some Windows 10 AD joined managed laptops have been upgraded to Windows 11 Insider Preview builds.,Windows10ADJoinedLaptopsUpgradedToWindows11InsiderPreview
[Symptom],"Post October 2023 Windows Explorer keeps crashing. The issue is first noticed when the taskbar freezes, then it is discovered that no folders can be opened on the desktop and an error is generated. Restarting explorer.exe temporarily restores the taskbar.",ExplorerKeepsCrashing
[Symptom],"The vulnerability allows for a use-after-free condition in the Profiles feature of Chromium, which is consumed by Microsoft Edge.",UseAfterFreeInProfiles
[Symptom],"The vulnerability allows an attacker to cause a total loss of availability, effectively denying access to resources in the impacted component.",DenialOfServiceVulnerability
[Symptom],Difficulty in permitting Win11 clients running pre 22H2 to upgrade to 22H2 via wsus without applying the patch to all machines that Win11 can run on.,UpgradeIssueWithWsus
[Symptom],The system experiences a boot manager failure after the August updates.,BootManagerFailureAfterAugustUpdates
[Symptom],"Certain services, including Lanmanworkstation and Netlogon, are not starting after a Windows 10 workstation is rebooted. This is affecting user productivity as the services need to be manually started for work to resume.",ServicesNotStartingAfterReboot
[Symptom],The email suggests a potential issue with the current ADMX files documentation for Windows LAPS.,LegacyLAPSToModernLAPSMigration
[Symptom],"An attacker can exploit this vulnerability to elevate their privilege level, gaining unauthorized access to resources.",ElevationOfPrivilegeInASP.NET
[Symptom],The vulnerability allows an attacker to execute arbitrary code if a user views a specially crafted webpage using a web browser that can run XAML Browser Applications (XBAPs).,RemoteCodeExecutionThroughXBAPs
[Symptom],Any remnants of targeting keys can cause the upgrade process to fail on Windows Home.,TargetingFailureOnWindowsHome
[Symptom],"After installing the update KB5002457, Outlook displays an 'Ordinal Not Found' error and the app won't start.",OrdinalNotFoundError
[Symptom],The system displays a notification related to Windows System Toast Backup Reminder.,RegistryChangeToStopNotificationDisplay
[Symptom],The fix for the Windows RCT performance issue has caused a compatibility problem with previous .RCT files if they exist.,WindowsRCTCompatibilityIssueWithPreviousFiles
[Symptom],The vulnerability allows an attacker to execute code remotely through Visual Studio.,RemoteCodeExecutionThroughVisualStudio
[Symptom],"The vulnerability allows an attacker to exploit the vulnerable component over the network, leading to potential spoofing.",SpoofingVulnerabilityInDotNetFramework
[Symptom],"The vulnerability allows for a use after free in garbage collection, potentially allowing an attacker to execute arbitrary code.",UseAfterFreeInGarbageCollection
[Symptom],"The vulnerability allows an attacker to exploit the Azure CLI REST Command over the network without any user interaction or special access conditions, leading to a total loss of confidentiality.",InformationDisclosureThroughNetworkExploitation
[Symptom],The vulnerability allows an attacker to disclose information from the system running the Open Management Infrastructure.,InformationDisclosureThroughVulnerability
[Symptom],"An attacker can bypass security features in ASP.NET Core, potentially gaining unauthorized access or privileges.",SecurityFeatureBypassInASPNETCore
[Symptom],"The vulnerability allows an attacker to inject malicious scripts into web pages viewed by other users, leading to spoofing of user interfaces or tricking users into revealing sensitive information.",CrossSiteScriptingVulnerability
[Symptom],An attacker can exploit this vulnerability to execute arbitrary code with elevated privileges on the affected system.,HyperVElevationOfPrivilege
[Symptom],The vulnerability allows for a use after free in navigation scenario.,UseAfterFreeInNavigation
[Symptom],"An attacker can bypass security features in Microsoft Office, leading to a potential compromise of data integrity.",SecurityFeatureBypass
[Symptom],"The system exhibits a spoofing vulnerability where an attacker can spoof the identity of a legitimate user, potentially leading to unauthorized access or information disclosure.",SpoofingVulnerabilityInDynamics365
[Symptom],The vulnerability allows an attacker to cause a Denial of Service attack through Windows Authentication.,DenialOfServiceThroughWindowsAuthentication
[Symptom],An attacker can exploit this vulnerability to elevate their privileges and run arbitrary code on the affected system.,ElevationOfPrivilegeInHyperV
[Symptom],"After the last Chrome update, some user profiles are missing.",MissingChromeProfile
[Symptom],Patching the Hyper-V host triggers the issue.,PatchingHyperVHostTriggersIssue
[Symptom],"The system fails to boot properly after a Windows Update, potentially resulting in a Blue Screen of Death (BSoD).",BootManagerFailureAfterUpdate
[Symptom],"Narrator does not work as expected with challenge–response tests, such as Captcha. It also fails to correctly state the name of certain buttons and dialogs.",NarratorNotWorkingAsExpected
[Symptom],"When in the chat input box, pressing Tab does not change the keyboard focus. If an image is added to the chat input box, Narrator does not announce the addition.",ChatInputBoxIssues
[Symptom],"The system is vulnerable to spoofing attacks, allowing an attacker to masquerade as a legitimate entity.",SpoofingVulnerabilityInDynamics
[Symptom],The system exhibits a spoofing vulnerability in Microsoft Edge (Chromium-based) that can be exploited by an attacker via the network.,SpoofingVulnerabilityInMicrosoftEdge
[Symptom],"The system is vulnerable to spoofing attacks, allowing an attacker to masquerade as a legitimate entity. This can lead to unauthorized access and control over the system.",SpoofingVulnerabilityInExchangeServer
[Symptom],"An attacker can exploit this vulnerability to elevate their privileges on the system, potentially gaining full control over the system.",ElevationOfPrivilegeInWindowsStorage
[Symptom],The vulnerability allows an attacker to execute arbitrary code remotely through the exploitation of a flaw in the handling of compressed files.,RemoteCodeExecutionThroughCompressedFiles
[Symptom],An attacker can execute arbitrary code remotely if a user opens a specially crafted Excel file.,RemoteCodeExecutionThroughExcel
[Symptom],"The vulnerability allows an attacker to cause a total loss of availability in the impacted component, resulting in a Denial of Service.",DenialOfServiceInVisualStudio
[Symptom],Issues with Windows 11 upgrade due to the presence of certain staging folders.,WindowsUpdateStagingFolders
[Symptom],"The system is in the process of upgrading to Windows 11 and is waiting for a restart, but the user wants to interrupt the upgrade and prevent it from completing.",Windows11UpgradeInterrupted
[Symptom],Windows 11 upgrade is offered even when the system does not have a TPM chip.,Windows11UpgradeOfferedWithoutTPM
[Symptom],"The 2023-10 Cumulative Update for Microsoft server operating system version 21H2 for x64-based Systems causes previous versions of AuthLite to break on 2022 Domain Controllers, preventing the DC from booting or authenticating users.",WindowsUpdateIssueWithAuthLite
[Symptom],"The installation of KB890830 on Windows Server 2019 completes without any error, but the tool does not install.",InstallationCompletesWithoutError
[Symptom],The vulnerability is triggered when a user views a specially crafted webpage using Microsoft Edge. This allows an attacker to execute arbitrary code on the target system.,UserViewsSpeciallyCraftedWebpage
[Symptom],The vulnerability can be exploited locally with low attack complexity. No user interaction is required for the exploit.,LocalAttackLowComplexity
[Symptom],"The vulnerability allows an attacker to exploit the vulnerable component over the network without any user interaction or special access conditions, resulting in a Denial of Service.",NetworkExploitableDenialOfService
[Symptom],"The vulnerability allows an attacker to cause a Denial of Service (DoS) condition in the DHCP Server Service, resulting in total loss of availability of the service.",DenialOfServiceThroughDHCP
[Symptom],The vulnerability allows an attacker to execute arbitrary code if a user opens a specially crafted document or visits a webpage that contains specially crafted embedded fonts.,UserOpensSpeciallyCraftedDocument
[Symptom],Successful exploitation of this vulnerability requires a user to take some action before the vulnerability can be exploited.,UserInteractionRequiredForExploit
[Symptom],"The vulnerability causes a heap buffer overflow in WebP, affecting Chromium.",HeapBufferOverflowInWebP
[Symptom],The vulnerability allows an attacker to spoof user interfaces on a network.,SpoofingUserInterfaces
[Symptom],The User Profile Service failed the sign in. User profile cannot be loaded. Many TEMP.{DOMAIN NAME}.000 folders are seen in C:\Users\. Users are able to log in after several reboots.,UserProfileServiceFailedToSignIn
[Symptom],"After reinstallation, Microsoft has stopped permitting reactivation of PCs running Windows 10 which has been upgraded from Windows 7.",Windows7UpgradedToWindows10ReactivationIssue
[Symptom],"The issue is observed on a Hyper-V host, where the affected guests are not related to Veeam, but to Microsoft's own replication with Azure Site Recovery.",HyperVHostIssueWithReplication
[Symptom],The system is vulnerable to spoofing attacks due to a vulnerability in the Visual Studio Code Jupyter Extension. The attacker can exploit the system locally with low complexity and low privileges required.,SpoofingVulnerabilityInVSCodeJupyterExtension
[Symptom],The vulnerability allows for a use after free condition in WebAudio.,UseAfterFreeInWebAudio
[Symptom],"The vulnerability allows an attacker to exploit the system at the protocol level one or more network hops away, often termed 'remotely exploitable'.",NetworkAttack
[Symptom],"When update logs do not point to a fix and all known fixes have been attempted, it may lead to the need for Windows repair, especially on a server.",WindowsRepairNeeded
[Symptom],"The netlogon service fails to start on machines running Windows 10, citing a dependent service failure.",NetlogonServiceFailsToStart
[Symptom],The Teams Outlook add-in is not loading for some users after the switch.,OutlookAddInNotLoading
[Symptom],"The date on a Teams message is in US format, while the organization is in Australia.",IncorrectDateFormatInTeams
[Symptom],"A user on Windows 10 Pro 22H2 accepted a pushed offer from Microsoft to install Win 11 22H2, despite having selected 'stay on Win 10' in the past. The machine is currently waiting at the 'pending restart' message.",UnwantedUpgradeToWindows11
[Symptom],"After updating SCCM to version 2211, the client check is failing.",ClientCheckFailing
[Symptom],"An attacker can exploit this vulnerability to elevate their privileges on the system, potentially gaining full control over the system.",KernelPrivilegeElevation
[Symptom],An attacker can exploit the vulnerability in Windows HMAC Key Derivation to elevate their privileges.,ElevationOfPrivilegeThroughHMACKeyDerivation
[Symptom],"An attacker can exploit this vulnerability to elevate their privileges on the system, potentially gaining full control over the affected system.",AuthenticationElevationOfPrivilege
[Symptom],An attacker can exploit this vulnerability to elevate their privileges and execute arbitrary code with elevated privileges.,ElevationOfPrivilegeThroughSAPI
[Symptom],The vulnerability in the Microsoft Local Security Authority Subsystem Service (LSASS) can lead to unauthorized information disclosure.,InformationDisclosureThroughLSASS
[Symptom],An attacker with local access and low privileges can exploit this vulnerability to elevate their privileges.,ElevationOfPrivilegeThroughDriver
[Symptom],The WSUS 23H2 installer is slow when used to upgrade older versions of Windows.,SlowPerformanceOfWSUSInstaller
[Symptom],The WSUS released 23H2 patch does not apply to any hardware that isn't officially supported by Windows 11.,WSUSPatchNotApplyingToUnsupportedHardware
[Symptom],Users may encounter Microsoft Entra ID SSO failures on Mac and iOS devices.,SSOFailureOnMacAndiOS
[Symptom],"The system is vulnerable to Server-Side Request Forgery (SSRF) attacks, specifically the ZDI-CAN-22101 – CreateAttachmentFromURI Server-Side Request Forgery. The attack can be initiated through OWA, where an attacker can create a new draft message, invoke CreateAttachmentFromUri, trigger the SSRF, and then download the attachment and retrieve the response content.",ServerSideRequestForgery
[Symptom],"The GPO ADMX suggests a wrong formatting for the account to fetch the password, preventing Windows LAPS from being deployed.",IncorrectFormattingForAccount
[Symptom],The vulnerability could allow remote code execution if a user views a specially crafted webpage using Internet Explorer. An attacker who successfully exploited this vulnerability could gain the same user rights as the current user.,MemoryCorruptionInWindowsScriptingEngine
[Symptom],An attacker with local access can exploit a vulnerability in the Windows Kernel to elevate their privileges.,ElevationOfPrivilegeThroughWindowsKernel
[Symptom],The vulnerability in the Windows Kernel allows an attacker to disclose information. The attacker can exploit this vulnerability locally with low complexity and basic user privileges.,InformationDisclosureThroughWindowsKernel
[Symptom],The vulnerability can be exploited locally with low attack complexity and does not require user interaction.,LocalAttackWithLowComplexity
[Symptom],"An attacker could exploit the vulnerability to execute arbitrary code in the context of the current user. If the current user is logged on with administrative user rights, an attacker could take control of the affected system.",RemoteCodeExecutionThroughFlaw
[Symptom],The vulnerability allows an attacker to execute arbitrary code remotely through the Microsoft Remote Registry Service. This can be done over the network without any user interaction.,RemoteCodeExecutionThroughRegistryService
[Symptom],An attacker can exploit the vulnerability in the Windows Search Service to elevate their privileges.,ElevationOfPrivilegeThroughWindowsSearchService
[Symptom],The Remote Desktop App downloaded from the app store is not working across dual monitors.,DualMonitorSupportIssue
[Symptom],The need to detect whether Acrobat or Acrobat Reader is installed on a PC.,DetectingAcrobatOrReaderInstallation
[Symptom],"The system is vulnerable to a heap buffer overflow, potentially allowing an attacker to execute arbitrary code.",HeapBufferOverflowVulnerability
[Symptom],"The vulnerability allows for a use-after-free condition in MediaStream, potentially allowing an attacker to execute arbitrary code.",SymptomUseAfterFreeInMediaStream
[Symptom],"The vulnerability manifests as a use-after-free issue in the offline component of Chromium, which is used by Microsoft Edge.",UseAfterFreeInOffline
[Symptom],"The vulnerability manifests as a type confusion in V8, a component of Chromium. This is exploited when Microsoft Edge, which is based on Chromium, ingests Chromium.",TypeConfusionInV8
[Symptom],"The system is affected by a heap buffer overflow in Skia, which is part of the Chromium Open Source Software (OSS) used by Microsoft Edge (Chromium-based).",HeapBufferOverflowInSkia
[Symptom],"The vulnerability manifests as insufficient validation of untrusted input in XML in Chromium, which is consumed by Microsoft Edge.",InsufficientValidationOfUntrustedInputInXML
[Symptom],"The vulnerability manifests as a use-after-free condition in the Extensions component of Chromium, which is used by Microsoft Edge.",SymptomUseAfterFreeInExtensions
[Symptom],The MSA key was leaked into a crash dump after a consumer signing system crashed in April 2021. This crash dump was later moved from the company's isolated production network to its internet-connected corporate debugging environment.,KeyLeakageInCrashDump
[Symptom],The system is experiencing an issue that is suspected to be caused by an interaction between the patch and an unsupported processor.,UnsupportedProcessorInteractionWithPatch
[Symptom],"The Windows backup app is installed without giving the user a choice, after installing the preview CU for Windows 10 22H2.",WindowsBackupAppInstalledWithoutChoice
[Symptom],The new Edge for Business has automatically appeared on some systems after recent Edge updates.,NewEdgeForBusinessAutomaticallyAppears
[Symptom],"The system is configured to allow SMB traffic to leave the network, potentially exposing the hash to the Internet.",SMBLeavingNetwork
[Symptom],The vulnerability requires a Registry edit after the patch.,VulnerabilityRequiresRegistryEdit
[Symptom],The vulnerability allows an attacker to execute arbitrary code on the target system over a network. User interaction is required for the attack to be successful.,RemoteCodeExecutionThroughUserInteraction
[Symptom],The vulnerability allows for a use after free condition in Device Trust Connectors.,SymptomUseAfterFreeInDeviceTrustConnectors
[Symptom],"The vulnerability allows for a use-after-free condition in the network component of Chromium, which can be exploited by an attacker.",UseAfterFreeInNetwork
[Symptom],"The vulnerability manifests as a 'use after free' issue in the audio component of Chromium, which can be exploited when using Microsoft Edge.",SymptomUseAfterFreeInAudio
[Symptom],"The vulnerability manifests as a 'use after free' issue in DNS within Chromium, affecting Microsoft Edge.",UseAfterFreeInDNS
[Symptom],"The vulnerability is due to an inappropriate implementation in the App Launcher of Chromium, which is used by Microsoft Edge.",SymptomInappropriateImplementationInAppLauncher
[Symptom],"After the September patching code, the backup app is not visible in the system tray while on a domain.",BackupAppNotVisibleInSystemTray
[Symptom],"Laptop users, who are only online between the hours of 8-5, won't see the restart notifications, or restart forcefully.",LaptopsNotReceivingRestartNotifications
[Symptom],The user has received a reboot notification due to a 'Windows configuration update'.,WindowsConfigurationUpdatePromptedReboot
[Symptom],"The vulnerability is due to an inappropriate implementation in color in Chromium, which is used by Microsoft Edge.",InappropriateImplementationInColor
[Symptom],"The vulnerability manifests as a heap buffer overflow in Mojom IDL of Chromium, which is consumed by Microsoft Edge.",HeapBufferOverflowInMojomIDL
[Symptom],"The symptom of this vulnerability is an inappropriate implementation in WebShare in Chromium, which is consumed by Microsoft Edge.",SymptomInappropriateImplementationInWebShare
[Symptom],The vulnerability can be exploited by tricking a legitimate user into opening a malicious document.,UserTrickedIntoOpeningMaliciousDocument
[Symptom],"The vulnerability can be exploited locally, either through direct access to the target system or remotely via SSH. The attacker can exploit the vulnerability by tricking a legitimate user into performing actions required for the attack.",LocalAttackVector
[Symptom],"The vulnerability manifests as an inappropriate implementation in Fullscreen mode in Chromium, which is used by Microsoft Edge.",InappropriateImplementationInFullscreen
[Symptom],"The symptom of this vulnerability is a heap buffer overflow in ANGLE, a component of Chromium.",HeapBufferOverflowInANGLE
[Symptom],The vulnerability allows for out of bounds memory access in V8.,OutOfBoundsMemoryAccessInV8
[Symptom],"The vulnerability manifests as an inappropriate implementation in permission prompts in Chromium, which is used by Microsoft Edge.",InappropriateImplementationInPermissionPrompts
[Symptom],The Onedrive sync state column in explorer is affected due to excessive 'shelliconoverlay' entries added by a software.,ExcessiveShelliconoverlayEntries
[Symptom],The system is not able to install the Windows 10 21h2 security patch due to support end or other issues.,WindowsUpdateIssues
[Symptom],The issue affects applications that do not load external libraries securely.,InsecureExternalLibraryLoading
[Symptom],"The 'Restrict Sign In' feature in Microsoft Edge for Business is made case sensitive, causing potential disruption in a corporate environment.",CaseSensitiveRestrictSignIn
[Symptom],The user is unable to see the status of uploads in Onedrive sync state column in explorer.,UnableToSeeUploadStatus
[Symptom],The vulnerability in Chromium Open Source Software (OSS) allows for insufficient policy enforcement in Extensions API.,InsufficientPolicyEnforcementInExtensionsAPI
[Symptom],"The vulnerability allows an attacker to exploit the system over the network, leading to unauthorized access and privileges on the affected system. The exploitation requires user interaction.",NetworkExploitableVulnerability
[Symptom],"The vulnerability manifests as an inappropriate implementation in the Autofill feature of Chromium, which is used by Microsoft Edge.",InappropriateImplementationInAutofill
[Symptom],Administrators with both an AAD account and a Microsoft Account may experience issues accessing services like Professional Support PPI plans.,AccessIssuesWithMultipleAccounts
[Symptom],Python in Excel runs without any warning by default.,PythonInExcelWithoutWarning
[Symptom],"After an update to Windows 10, the Onedrive file sync state column does not display the status icons. This issue is observed on machines using SharePoint.",OnedriveFileSyncStateColumnIssue
[Symptom],"The default setting of the Edge password manager in the personal profile is enabled, despite being prohibited via GPO.",DefaultEdgePasswordManagerEnabled
[Symptom],"The system clock experiences significant time jumps due to the Secure Time Seeding feature in Windows, potentially causing errors in digital certificate time stamp parsing and job execution.",TimeChangesDueToSecureTimeSeeding
[Symptom],"Services start ahead of the network stack, leading to potential issues with Network Location Awareness and other services.",AlwaysWaitForNetworkAtComputerStartupAndLogon
[Symptom],Roaming Profiles can be a significant administrative burden and cause various issues.,RoamingProfilesManagementChallenges
[Symptom],Bitlocker keys are able to be sniffed from the TPM.,BitlockerKeysSniffedFromTPM
[Symptom],The WSUS Sync is taking longer than usual. The downstream server is taking 25 minutes to sync and not all updates are being synchronized.,SyncTakingLonger
[Symptom],"Windows 10 login shows a spinning circle, indicating a slow login process.",Windows10LoginSpinningCircle
[Symptom],SenseNdr.exe is faulting on a WS2022 VM guest.,SenseNdrExeFaultingOnHypervisor
[Symptom],The system is vulnerable to a new Intel microarchitectural attack.,VulnerabilityAssociatedWithCVE202240982
[Symptom],Registry entries are left over from a Group Policy Object (GPO) related to .Net Patching.,RegEntriesLeftOverFromGPO
[Symptom],"Machines that hadn't patched for over a month are reporting as 'compliant' for the update ring in Intune, despite not being patched.",PatchingIssuesWithComplianceReporting
[Symptom],The vulnerability allows an attacker to bypass security features and gain unauthorized access to the system.,SecurityFeatureBypassVulnerability
[Symptom],The vulnerability in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based) could allow an attacker to exploit insufficient data validation in Extensions.,InsufficientDataValidationInExtensions
[Symptom],"The vulnerability allows an attacker to spoof the identity of a legitimate user in Windows Nearby Sharing, leading to unauthorized access and potential data manipulation.",SpoofingVulnerabilityInWindowsNearbySharing
[Symptom],"The vulnerability in SQLite allows an array-bounds overflow, which could potentially lead to remote code execution.",SQLiteArrayBoundsOverflow
[Symptom],An attacker can execute arbitrary code on the target system by exploiting the vulnerability in Windows Libarchive.,RemoteCodeExecutionThroughLibarchive
[Symptom],"The vulnerability allows an attacker to cause a total loss of availability, resulting in the attacker being able to fully deny access to resources in the impacted component.",DenialOfServiceInWindowsHyperV
[Symptom],A vulnerability in Windows Hyper-V could allow an attacker to execute arbitrary code remotely. This could be triggered if a user opens a specially crafted document or visits a malicious webpage that contains embedded TrueType fonts.,RemoteCodeExecutionThroughHyperV
[Symptom],"The vulnerability is exploited when a user opens a specially crafted file, leading to remote code execution.",UserOpensMaliciousDocument
[Symptom],"The vulnerability allows an attacker to execute code remotely on a system running the Microsoft Online Certificate Status Protocol (OCSP). The attack can be carried out over a network, making it possible for the attacker to exploit the vulnerability from anywhere on the internet.",RemoteCodeExecutionThroughOCSP
[Symptom],The vulnerability in the Windows Online Certificate Status Protocol (OCSP) allows an attacker to disclose information from the system.,InformationDisclosureThroughOCSP
[Symptom],A vulnerability exists in the Javascript implementation of Adobe Software consumed by Microsoft Edge (Chromium-based).,JavascriptImplementationPDFVulnerability
[Symptom],"The vulnerability allows an attacker to exploit the system locally, without the need for user interaction. The attacker can gain access to the system with low privileges and can affect the confidentiality, integrity, and availability of the system.",LocalExploitationOfVulnerableComponent
[Symptom],"The vulnerability allows an attacker to spoof the Microsoft Bluetooth Driver, leading to a total loss of integrity. The attack requires user interaction and can be launched from a logically adjacent network.",SpoofingVulnerabilityInBluetoothDriver
[Symptom],"An attacker can exploit this vulnerability to run arbitrary code in kernel mode, which could allow the attacker to install programs; view, change, or delete data; or create new accounts with full user rights.",ElevationOfPrivilegeThroughKernelModeDriver
[Symptom],The vulnerability allows an attacker to execute arbitrary code on the affected system due to insufficient validation of user-supplied input by the affected software.,RemoteCodeExecutionThroughInsufficientValidation
[Symptom],"The vulnerability allows an attacker to cause a total loss of availability in Microsoft Identity, denying access to resources in the impacted component.",DenialOfServiceInMicrosoftIdentity
[Symptom],The vulnerability allows an attacker to execute arbitrary code if they can convince a user to connect to a malicious server.,RemoteCodeExecutionThroughMaliciousServer
[Symptom],The vulnerability allows an attacker to execute arbitrary code remotely by exploiting the Microsoft ODBC Driver for SQL Server.,RemoteCodeExecutionThroughODBC
[Symptom],The vulnerability allows an attacker to execute arbitrary code remotely through the Windows Bluetooth Driver.,RemoteCodeExecutionThroughBluetoothDriver
[Symptom],"The vulnerability allows an attacker to cause a total loss of availability in the Windows Kernel, resulting in the attacker being able to fully deny access to resources.",DenialOfServiceInWindowsKernel
