NodeType,CauseDescription,CauseID
[Cause],The issue seems to be a block on previous GP for Windows 11 build that expired and a policy with insider preview was enabled.,cause_655ec7d1-376a-b414-1d3b-777e95b6777c_1
[Cause],"The cause of the problem is the October 2023 Windows update. The faulting application is explorer.exe, version 10.0.22621.2428.",cause_d4540040-b4c8-045a-c249-b9c36b505c52_1
[Cause],The vulnerability is caused by a flaw in Microsoft QUIC that allows an attacker to exploit it over the network without any user interaction or special access conditions.,cause_43cd0f48-1d3b-1e2c-7711-4a53ea021b7d_1
[Cause],The root cause of the vulnerability is a use-after-free condition in the Profiles feature of Chromium.,cause_08fe0e15-0f00-9566-6e35-18e4a98ccbb6_1
[Cause],"The vulnerability is due to a flaw in the network stack of .NET Core and Visual Studio, which can be exploited remotely. The attacker does not require any special access conditions or privileges to exploit the vulnerability.",cause_f17ca7a9-991c-9456-a403-dbebd8c5fb47_1
[Cause],The cause of the problem is the lack of a specific patch for upgrading to Win 11 22H2 that applies only to the specified OS type.,cause_d6762949-ddbb-81e1-7f0f-b626decf99e4_1
[Cause],The cause of the issue is an unsupported processor bug in Windows.,cause_7ed75b9c-86af-ddec-a94c-20a2c2891928_1
[Cause],The root cause of the issue is not yet known. It is unclear why the services are failing to start after a reboot.,cause_9faab8d0-c9b4-7f52-57ca-5f7dfb33e17f_1
[Cause],The cause of the issue is the problem in the current ADMX files documentation for Windows LAPS.,cause_ab4f035d-3168-b804-c44d-b1215745e18f_1
[Cause],The vulnerability is caused by a flaw in .NET Framework 3.5 and 4.6.2 that allows an attacker to execute code remotely.,cause_fe9b9aa7-053f-6f38-4d90-64c457428bd4_1
[Cause],The vulnerability is caused by a flaw in ASP.NET that allows an attacker to exploit the system remotely with low complexity.,cause_ef99c162-cb91-72df-99a7-56d34ed52fd0_1
[Cause],"The vulnerability is caused by a flaw in the software that does not properly validate user-supplied input, allowing an attacker to execute arbitrary code.",cause_797e042f-13ae-12e0-c4d8-b0882b092ec1_1
[Cause],"The vulnerability is caused by a flaw in the .NET and Microsoft Visual Studio software that does not properly handle certain inputs, allowing an attacker to execute arbitrary code.",cause_013fe0fe-650c-367e-d58d-d8efa4306ed7_1
[Cause],The vulnerability is caused by .NET Framework not properly validating input before loading libraries. An attacker who successfully exploited this vulnerability could take control of an affected system.,cause_beafa6f9-12f9-8b38-78f7-e1a6a4077d72_1
[Cause],The vulnerability is caused by an unspecified flaw in the affected products that allows an attacker to execute arbitrary code.,cause_ab263dab-548b-63a0-ab4e-de363224028c_1
[Cause],The vulnerability is caused by a flaw in the .NET Framework that allows an attacker to execute code remotely. The attacker does not require any special access conditions or privileges to exploit the vulnerability.,cause_0e4b7ec1-c195-671f-a8fa-7165b6284b4d_1
[Cause],The vulnerability is caused by a flaw in the .NET Framework that allows an attacker to exploit the system remotely.,cause_46f5b878-3f42-73c8-0fb6-ebd1a9dc8bc5_1
[Cause],The vulnerability is caused by insufficient validation of user-supplied input in the affected software.,cause_38b0e9cd-0c3a-d4cb-c9e1-7a38bea06994_1
[Cause],The cause of the issue is speculated to be related to Secure Boot patches and configuration.,cause_ee0c530f-fefc-b6cd-3dbc-a5bc8d2d2d3d_1
[Cause],The Anti-Spam outbound policy is configured to send a copy of suspicious outbound emails to the admin.,cause_f8030b23-8904-d6fd-f93a-f19c85fe948f_1
[Cause],The cause of the upgrade failure is the presence of remnants of targeting keys.,cause_ebacaeb1-b020-0524-f2ca-46a3096649db_1
[Cause],The issue is caused by the update KB5002457.,cause_f9ade070-2a80-00e1-a1ea-2dec50d1446a_1
[Cause],The cause of the issue is the fix implemented for the Windows RCT performance problem.,cause_74b68ba3-c06f-0f9c-3e50-befdc2dd1e86_1
[Cause],The vulnerability is caused by a flaw in Visual Studio that allows an attacker to exploit the system remotely. The attacker does not require any special access conditions or extenuating circumstances to exploit the vulnerability.,cause_3906d039-bedf-77ed-596d-d071c22ddf38_1
[Cause],The vulnerability is caused by a flaw in .NET Framework that allows an attacker to exploit the component over the network.,cause_ef3272e4-41ae-be7e-00cd-78dc28b16f0c_1
[Cause],The vulnerability is caused by a flaw in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based).,cause_2383488f-5d18-90f9-223b-a17e97393c4e_1
[Cause],The vulnerability is caused by a flaw in Microsoft Windows Defender that allows an attacker to exploit the system with low privileges and without user interaction.,cause_23c192b8-002f-7b9b-4355-719e6a75e82e_1
[Cause],The vulnerability is caused by a flaw in the Azure CLI REST Command that allows unauthorized network-based attacks without any user interaction or special access conditions.,cause_6ddd8e66-5da8-38a8-e1f4-4cbca77a867f_1
[Cause],The vulnerability is caused by a flaw in the Open Management Infrastructure that allows an attacker to exploit it locally with low complexity and low privileges.,cause_d7be756c-2eac-cf76-42fe-bdff7b22adff_1
[Cause],The vulnerability is due to a flaw in the design of ASP.NET Core's security features. This flaw can be exploited under certain conditions.,cause_c85c0e3c-cb8f-96a2-6cf3-25216e79dc1b_1
[Cause],The vulnerability is caused by insufficient validation of user-supplied input in Microsoft Dynamics 365. An attacker could exploit this vulnerability by sending a specially crafted request to the affected application.,cause_47a9f791-053e-b239-1928-8c9efbc35e74_1
[Cause],The vulnerability is due to insufficient security controls in the network stack of Microsoft Host Integration Server 2020.,cause_9f259de2-565a-7451-d6af-2f3c4fef3dcf_1
[Cause],The vulnerability is due to a flaw in the way Hyper-V handles certain requests.,cause_f31ca2f7-4767-f4c9-b049-dfb34e4603f4_1
[Cause],The root cause of the vulnerability is a use after free issue in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge.,cause_6c5d1dbe-fb0a-ac10-97cd-c3e5f9df6d7e_1
[Cause],The vulnerability is due to improper validation of user-supplied input by the affected software.,cause_e9944266-2a47-d514-42f5-b32ab850b309_1
[Cause],The vulnerability is due to a flaw in Azure DevOps Server that allows an attacker to exploit the system remotely over the network.,cause_0252ea1a-540c-bceb-164b-4d4ea2353ef0_1
[Cause],"The vulnerability is due to insufficient security restrictions in Microsoft Office, allowing an attacker to bypass security features.",cause_e50ce9db-a4ee-7edf-9195-f70ea5370c9f_1
[Cause],"The vulnerability is caused by insufficient validation of user identities in the Microsoft Send Customer Voice survey from Dynamics 365, allowing an attacker to spoof a legitimate user's identity.",cause_ff7468da-7211-f79e-77af-2ecd622b9abb_1
[Cause],The vulnerability is caused by a flaw in the Microsoft Exchange Server that allows an attacker to execute arbitrary code remotely.,cause_f25cccf7-93ff-8744-c23a-5b1337ac0021_1
[Cause],The vulnerability is caused by a flaw in Windows Authentication that allows an attacker with basic user privileges to exploit the system locally with low complexity.,cause_e9253221-9982-e07c-2246-8e3b7a4a3175_1
[Cause],The vulnerability is due to the way Hyper-V handles certain requests.,cause_1d2e35b7-54a4-6681-6181-bf0ce4160668_1
[Cause],The cause of the issue is the Windows Server 2019 2022 updates KB5031361 and KB5031364.,cause_329b0cc9-6550-f925-60ad-4fb8e4924eec_1
[Cause],"The issue is caused by a faulty entry in the BCD store, which is a critical component for the system's boot process.",cause_57ce5346-8fd2-24e7-0e65-786608d09c8d_1
[Cause],The vulnerability is caused by insufficient security measures in the network component of Microsoft Dynamics 365 Sales.,cause_20a78e4f-76eb-2f6c-b9ce-ccce606562a0_1
[Cause],The vulnerability is caused by a flaw in Microsoft Edge (Chromium-based) that allows an attacker to exploit the vulnerable component via the network.,cause_7387c3c6-49cf-9b89-eb90-5696c068ea36_1
[Cause],"The vulnerability is caused by insufficient security controls in Microsoft Exchange Server, allowing an attacker to exploit the system without user interaction.",cause_c9e42477-dd61-6676-ffb4-7ba96f6c124b_1
[Cause],The vulnerability exists due to a flaw in ASP.NET Core that allows an attacker to exploit the system without any user interaction or special access conditions.,cause_8515b6d5-2caf-e57e-28ef-8866b7d0a514_1
[Cause],The vulnerability is due to a flaw in the handling of certain operations by Hyper-V.,cause_0528ae58-0af5-1f2c-7dbd-90236020e81e_1
[Cause],"The vulnerability is due to insufficient security controls in Windows Storage, allowing an attacker with low privileges to exploit the system locally with low complexity.",cause_0ec16fdf-7814-8c6c-b4e9-18e7a84943a5_1
[Cause],The root cause of the vulnerability is a flaw in the handling of compressed files in Windows Compressed Folder.,cause_ef9760a4-a330-b450-d4b2-98a1f23d2be4_1
[Cause],The vulnerability is caused by an error in Microsoft Excel when it fails to properly handle objects in memory.,cause_028cea55-4d6b-060c-348c-c9339670a067_1
[Cause],The vulnerability is caused by a flaw in Visual Studio that allows an attacker to exploit the system locally without any user interaction.,cause_0454f3a2-3091-0fee-8d11-432959e676da_1
[Cause],"The staging folders are not properly cleared during the upgrade process, causing issues.",cause_22ba5fbe-09c1-e468-1d0d-b157f192a292_1
[Cause],"The system is set to automatically upgrade to Windows 11, and the user has not yet completed the upgrade process.",cause_022a987e-f54d-657a-308f-2f512b5cefdf_1
[Cause],"The TPM chip is enabled in the system's BIOS, making it compatible with Windows 11 and thus, the upgrade is offered.",cause_aab95f90-1268-ed1e-deaf-001999553c8d_1
[Cause],The '2023-10 Cumulative Update for Microsoft server operating system version 21H2 for x64-based Systems' (KB5031364) makes changes in the kdcsvc.dll file on 2022 Domain Controllers that cause previous versions of AuthLite to break.,cause_139df8a9-4477-506f-39f5-103fb6f8b9e9_1
[Cause],The cause of the issue is not specified in the email. It could be due to a compatibility issue or a problem with the installation script.,cause_57217e70-b3b3-edd5-46aa-767e25e7b715_1
[Cause],The vulnerability exists due to the way Microsoft Edge handles objects in memory. An attacker can exploit this vulnerability to execute arbitrary code in the context of the current user.,cause_5a106c58-acd6-0e73-5fc0-5af2aeeb631e_1
[Cause],The vulnerability is caused by a flaw in Windows Hyper-V that allows an attacker with low privileges to disclose information.,cause_be6c2c05-205d-0226-3984-6529afa2d4c2_1
[Cause],The vulnerability is caused by a flaw in Windows Deployment Services that allows an attacker to exploit the vulnerable component over the network without any user interaction or special access conditions.,cause_f3eef60f-ea7d-d957-561a-e0ad14732389_1
[Cause],The vulnerability is caused by an unspecified issue in the DHCP Server Service that allows an attacker to exploit the service over the network without any user interaction or special access conditions.,cause_0e8184b9-2939-c1cc-d03b-f43b7c876429_1
[Cause],The vulnerability is due to a flaw in the Microsoft Exchange Server that allows an attacker to exploit the system without any user interaction.,cause_08eacbe4-f6c0-c1db-0f19-874f15bf3246_1
[Cause],The vulnerability is caused by a flaw in the handling of embedded fonts in Microsoft Office Graphics. An attacker can exploit this flaw to execute arbitrary code.,cause_ad7117b9-abd9-d733-d611-ff5b1d34eff0_1
[Cause],The vulnerability is caused by a security feature bypass in Microsoft Excel.,cause_e90e5a31-059a-5473-17ba-d835baf98c1c_1
[Cause],The vulnerability is due to a flaw in the Microsoft Exchange Server that allows an attacker to exploit the system without any user interaction.,cause_26c23a29-5d9f-af67-0e20-d2df7e5c8515_1
[Cause],"The root cause of the vulnerability is a heap buffer overflow in WebP, which is consumed by Microsoft Edge (Chromium-based).",cause_0f3f9c2d-a885-c9b8-f3ca-e00718910ef6_1
[Cause],The vulnerability is caused by a cross-site scripting issue in Microsoft Dynamics 365 (on-premises).,cause_c3f171c3-967d-a204-e949-46099f99ebbb_1
[Cause],The issue is caused by antivirus interference with the boot process.,cause_121df3d4-e2cb-1dab-b2a9-a843e621b5c7_1
[Cause],"The cause of the issue is a policy change by Microsoft, where they have stopped allowing reactivation of Windows 10 on machines that were upgraded from Windows 7 after reinstallation.",cause_43cf8985-c351-9e59-fd66-780749538e5e_1
[Cause],"The exact cause is not identified, but the issue started after the latest October 2023 security update KB5031356.",cause_1742286f-5583-c547-8243-8ba70cf1ebfd_1
[Cause],The vulnerability is caused by a flaw in the Visual Studio Code Jupyter Extension that allows an attacker to exploit the system locally with low complexity and low privileges required.,cause_df2d3a98-2775-4295-a12b-6c89b238bfc5_1
[Cause],The vulnerability is caused by a flaw in Microsoft Edge (Chromium-based) that allows an attacker to exploit the vulnerable component over the network without requiring any special access conditions or privileges.,cause_68a811c2-cb9f-09db-1348-03aeb2578645_1
[Cause],The root cause of the vulnerability is the improper handling of objects in memory by Microsoft Edge. This allows an attacker to execute arbitrary code in the context of the current user.,cause_65369b53-9b11-853c-ca19-0211b57d6fe5_1
[Cause],The vulnerability is caused by insufficient validation of user-supplied input in Microsoft Dynamics 365 (on-premises). An attacker can exploit this by sending a crafted request to the affected application.,cause_3adcea7e-d4e7-809e-bcea-ee544728376c_1
[Cause],The root cause of the vulnerability is a use after free condition in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based).,cause_15d58879-73f5-a92f-c5c9-213d7bdc3492_1
[Cause],"The vulnerability is caused by a flaw in the curl.exe software when used with specific settings, allowing an attacker to exploit the system.",cause_7001567b-77d3-824e-62c4-9c022f0f7278_1
[Cause],The vulnerability is caused by a security feature bypass in the Microsoft On-Prem Data Gateway.,cause_916c00a4-81be-9818-d318-a4bbd9e508eb_1
[Cause],The issue is likely due to the October update of Windows 10. The dependency in the chain netlogon is causing the netlogon service to fail to start.,cause_2dde10c4-80fc-366a-6cc4-c1801594d17d_1
[Cause],"The user accepted a pushed offer from Microsoft to upgrade to Windows 11, despite the administrator's previous selection to stay on Windows 10.",cause_6950b207-a419-d88b-a7d4-033c617e38a1_1
[Cause],The vulnerability is due to a flaw in Microsoft Edge (Chromium-based) that allows an attacker to exploit the vulnerable component over the network without any special access conditions.,cause_d66f5963-68c7-12c6-6b0a-3dd42fe95b60_1
[Cause],The vulnerability is due to a flaw in the way the Windows Kernel handles certain operations.,cause_e7508a95-ae72-5786-5262-7738ac1b6dd8_1
[Cause],The vulnerability is caused by a flaw in the Windows HMAC Key Derivation that allows an attacker to elevate their privileges.,cause_725a9dda-4062-e2ed-de99-40ea7fbcfd7e_1
[Cause],The vulnerability is caused by a flaw in the way Windows handles authentication requests. This flaw can be exploited by an attacker to elevate their privileges.,cause_167203ed-071a-f048-9910-aa968168d4fe_1
[Cause],"The vulnerability is caused by a flaw in the .NET, .NET Framework, and Visual Studio that allows an attacker to exploit the vulnerable component over the network without any user interaction.",cause_3556893f-7b68-59a5-28df-2d13536809bf_1
[Cause],The vulnerability is due to the way Microsoft Speech Application Programming Interface (SAPI) handles certain requests.,cause_14917f1d-2047-3310-a46d-194ddbee0053_1
[Cause],The vulnerability is caused by a flaw in Windows Installer that allows an attacker to exploit the system locally without any user interaction.,cause_68564ad7-00ce-b10e-6f6c-ff0aa7f0e0eb_1
[Cause],The vulnerability is caused by a flaw in the Microsoft Local Security Authority Subsystem Service that allows an attacker with local access to exploit the vulnerable component.,cause_7722618d-a2e9-6bc8-15de-5489dd69fdc4_1
[Cause],The vulnerability is due to a flaw in the Windows Common Log File System Driver that could be exploited by an attacker.,cause_b6e6baf4-977b-8d5f-0167-99bc68fb9c50_1
[Cause],"A recent software update to iOS, iPadOS, and macOS included a version of WebKit identified to contain code regressions impacting the functionality of the Microsoft Enterprise SSO Plug-in.",cause_d250a978-356e-0149-ba7e-7e73236b254c_1
[Cause],"The cause of the vulnerability is the ability to invoke CreateAttachmentFromUri, which triggers the SSRF, allowing the attacker to exploit the system and retrieve response content.",cause_76fcd96d-3e81-34e0-5ae6-15c963320e68_1
[Cause],The documentation is wrong about the formatting of the SID or domain\user or group.,cause_c60fe673-ac9e-68fc-5101-72bafc59b1e0_1
[Cause],The vulnerability is caused by a memory corruption issue in the Windows Scripting Engine. This can be exploited by an attacker by creating a specially crafted webpage to perform actions in the context of the current user.,cause_c629b845-62e3-6454-cee5-38ac81f56832_1
[Cause],The vulnerability is caused by a flaw in the Windows Kernel that allows an attacker with local access to elevate their privileges.,cause_5665cac7-30e9-6ea0-7016-d9829aa61201_1
[Cause],The vulnerability is caused by a flaw in the Windows Kernel that allows an attacker to disclose information. The flaw can be exploited locally with low complexity and basic user privileges.,cause_41027221-101b-b53c-7beb-538937fc2c9b_1
[Cause],The vulnerability is caused by a flaw in Windows NTFS that allows an attacker to disclose information.,cause_9be7a8d3-46cf-5f0c-d2fc-12f608138616_1
[Cause],The vulnerability is caused by the way the Windows User Interface Application Core handles objects in memory. An attacker who successfully exploited this vulnerability could execute arbitrary code in the context of the current user.,cause_6bdbd676-2976-72cc-950c-7450f796b1e2_1
[Cause],The vulnerability is caused by a flaw in ASP.NET's security features that allows an attacker to exploit the system over the network without requiring user interaction.,cause_5aa37889-8e11-addb-2ec3-70204dffcaa8_1
[Cause],The vulnerability is caused by a flaw in the Microsoft Remote Registry Service that allows it to be exploited over the network without any user interaction.,cause_5ad75fa2-375a-2da2-c6c9-2b4b05bce045_1
[Cause],"The vulnerability is caused by a flaw in .NET, .NET Framework, and Visual Studio that allows an attacker to exploit the vulnerable component over the network without any user interaction.",cause_47601a3d-ee2a-5ef7-e092-0d9348efb4de_1
[Cause],The vulnerability is due to a flaw in the Windows Search Service that could be exploited if certain conditions are met.,cause_0083b939-fbb6-616d-8500-b5b87d417266_1
[Cause],The two programs store settings in different registry keys.,cause_8f31f1e6-761d-268c-467f-25a14f3a603b_1
[Cause],"The vulnerability is caused by a flaw in the design of Windows SmartScreen that does not properly enforce security restrictions, allowing an attacker to bypass them.",cause_08e11356-4cf0-b487-2d88-be69035f315a_1
[Cause],"The vulnerability is caused by an issue in Autodesk® FBX® SDK 2020 or prior that fails to properly handle certain files, leading to a heap buffer overflow.",cause_63c12a02-91ae-1d3e-1eb0-5e7e1719e8d0_1
[Cause],"The root cause of the vulnerability is a use-after-free condition in the MediaStream component of Chromium Open Source Software (OSS), which is consumed by Microsoft Edge (Chromium-based).",cause_2a89d8fa-4a75-639c-0ef-b17c30d775ff_1
[Cause],"The root cause of the vulnerability is a use-after-free issue in the offline component of Chromium, an Open Source Software (OSS) consumed by Microsoft Edge.",cause_ca472269-83ca-8d14-b051-e07d45576f82_1
[Cause],"The root cause of the vulnerability is a type confusion issue in V8, a component of Chromium. This issue is exploited when Microsoft Edge, which is based on Chromium, ingests Chromium.",cause_8b121710-2f7a-0447-87cb-c4ec928bf73b_1
[Cause],"The root cause of the vulnerability is a heap buffer overflow in Skia, a graphics engine used in Chromium, which is consumed by Microsoft Edge.",cause_14bdec9a-b9f6-8f6b-5362-510bae7f1f9e_1
[Cause],The root cause of the vulnerability is the insufficient validation of untrusted input in the XML processing within Chromium.,cause_4e10d00f-a710-4d01-8549-a15ebfb6a9ea_1
[Cause],The root cause of the vulnerability is a use-after-free condition in the Extensions component of Chromium.,cause_409a9b1b-b889-f890-3a9c-e996ca6d6a54_1
[Cause],A race condition led to the key being added to the crash dump. The key was then found by threat actors who compromised a Microsoft engineer's corporate account.,cause_6fa7c65e-cd8a-17c8-7b1d-9edf30c0685f_1
[Cause],Microsoft has announced that signing into Edge using Azure Active Directory will automatically transition you to Edge for Business.,cause_fd77d8a7-7df4-cd83-e759-6458213a382c_1
[Cause],The cause of the issue is the network configuration that allows SMB traffic to leave the network.,cause_fcb48cc1-cc78-12f7-f622-7c964b2a6d6f_1
[Cause],The cause of the issue is the change in the flagging of the vulnerability from High to Informational.,cause_64c9fc72-72df-6c9a-84da-098b418eafa8_1
[Cause],The vulnerability is caused by an unspecified issue in Microsoft Outlook that allows an attacker to execute arbitrary code on the target system.,cause_427c5099-ccde-a33d-9f8d-60a90cbd8692_1
[Cause],The root cause of the vulnerability is a use after free condition in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based).,cause_33fca9b8-52d7-c02d-1015-52f6d0a34242_1
[Cause],The root cause of this vulnerability is a use-after-free condition in the network component of Chromium.,cause_1b05d6db-fdf2-6463-33db-4bc02eff2ae0_1
[Cause],"The root cause of the vulnerability is a 'use after free' issue in the audio component of the Chromium Open Source Software (OSS), which is consumed by Microsoft Edge.",cause_0ad62ac0-7b5c-ba54-b249-11e8434c193c_1
[Cause],"The root cause of the vulnerability is a 'use after free' issue in the DNS component of Chromium Open Source Software (OSS), which is consumed by Microsoft Edge.",cause_07983ffc-7c5b-78e6-0d35-ce6edc156119_1
[Cause],The root cause of the vulnerability is the inappropriate implementation in Chromium Open Source Software (OSS) which is consumed by Microsoft Edge (Chromium-based).,cause_ec3744b4-2ba6-9ed1-a57b-e40b596a9c52_1
[Cause],"The previous solution for suppressing restarts for software updates, which worked fine with desktops, is not effective for laptops, especially when they are only online during specific hours.",cause_b12c0d13-d1e8-f299-b4a2-6a920135243b_1
[Cause],"The cause of the issue is a 'Windows configuration update' that has been automatically applied, potentially as a new feature toggle option on the Windows Update Settings page.",cause_0f61a743-ea2c-98d5-10dd-87eb526b34bc_1
